stream,year,date,doy,rm_upper,rm_lower,rm_length,redds,survey_type,flow,method
Union River,2022,2022-04-28,118,4,3,1,0,INDX,Medium,FOOT
Union River,2022,2022-05-09,129,1.7,0.3,1.4,0,INDX,Medium-low,FOOT
Union River,2022,2022-05-09,129,3,1.7,1.3,0,INDX,Medium-low,FOOT
Union River,2022,2022-05-09,129,4,3,1,0,INDX,Medium-low,FOOT
Union River,2022,2022-05-16,136,1.7,0.3,1.4,0,INDX,Medium,FOOT
Union River,2022,2022-05-16,136,3,1.7,1.3,0,INDX,Medium,FOOT
Union River,2022,2022-05-16,136,4,3,1,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2022,2022-03-10,69,1.7,0,1.7,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2022,2022-03-10,69,2.9,1.7,1.2,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2022,2022-03-10,69,3.6,2.9,0.7,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2022,2022-03-22,81,1.7,0,1.7,0,INDX,Medium,RAFT
Vance Creek (SF Skok trib),2022,2022-03-22,81,2.9,1.7,1.2,0,INDX,Medium,RAFT
Vance Creek (SF Skok trib),2022,2022-03-22,81,3.6,2.9,0.7,0,INDX,Medium,RAFT
Vance Creek (SF Skok trib),2022,2022-04-06,96,1.7,0,1.7,0,INDX,Medium,RAFT
Vance Creek (SF Skok trib),2022,2022-04-06,96,2.9,1.7,1.2,0,INDX,Medium,RAFT
Vance Creek (SF Skok trib),2022,2022-04-06,96,3.6,2.9,0.7,0,INDX,Medium,RAFT
Vance Creek (SF Skok trib),2022,2022-04-14,104,2.9,1.7,1.2,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2022,2022-04-28,118,1.7,0,1.7,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2022,2022-04-28,118,2.9,1.7,1.2,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2022,2022-04-28,118,3.6,2.9,0.7,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2022,2022-05-06,126,1.7,0,1.7,0,INDX,Medium-low,FOOT
Vance Creek (SF Skok trib),2022,2022-05-13,133,1.7,0,1.7,0,INDX,Medium,RAFT
Vance Creek (SF Skok trib),2022,2022-05-19,139,1.7,0,1.7,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2022,2022-05-19,139,2.9,1.7,1.2,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2022,2022-05-19,139,3.6,2.9,0.7,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2022,2022-06-01,152,1.7,0,1.7,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2022,2022-06-01,152,2.9,1.7,1.2,0,INDX,Medium-low,FOOT
Vance Creek (SF Skok trib),2022,2022-06-01,152,3.6,2.9,0.7,0,INDX,Medium-low,FOOT
Duckabush River,2022,2022-03-28,87,6,4.8,1.2,0,INDX,Medium,SNOR
Duckabush River,2022,2022-03-28,87,4.4,2.7,1.7,0,INDX,Medium,FOOT
Duckabush River,2022,2022-04-05,95,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2022,2022-04-05,95,4.4,2.7,1.7,0,INDX,Medium,FOOT
Duckabush River,2022,2022-04-12,102,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2022,2022-04-12,102,4.4,2.7,1.7,0,INDX,Medium,FOOT
Duckabush River,2022,2022-05-03,123,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2022,2022-05-10,130,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2022,2022-05-19,139,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2022,2022-05-19,139,4.4,2.7,1.7,0,INDX,Medium,FOOT
Duckabush River,2022,2022-05-30,150,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2022,2022-05-30,150,4.4,2.7,1.7,0,INDX,Medium,FOOT
Duckabush River,2022,2022-06-07,158,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2022,2022-06-07,158,4.4,2.7,1.7,0,INDX,Medium,FOOT
Duckabush River,2022,2022-06-14,165,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2022,2022-06-14,165,4.4,2.7,1.7,0,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-07-05,186,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-07-19,200,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-07-22,203,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-07-27,208,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-08-01,213,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, MS",2022,2022-08-26,238,3.6,2.1,1.5,0,SUPP,Medium,SNOR
"Skokomish River, MS",2022,2022-08-26,238,6.3,5.8,0.5,0,SUPP,Medium,SNOR
"Skokomish River, MS",2022,2022-08-26,238,8,6.3,1.7,0,SUPP,Medium,SNOR
"Skokomish River, MS",2022,2022-08-26,238,5.8,3.6,2.2,0,SUPP,Medium,SNOR
"Skokomish River, MS",2022,2022-09-02,245,6.3,5.8,0.5,0,SUPP,Medium,SNOR
"Skokomish River, MS",2022,2022-09-02,245,8,6.3,1.7,0,SUPP,Medium,SNOR
"Skokomish River, MS",2022,2022-09-09,252,8,6.3,1.7,0,SUPP,Medium,SNOR
"Skokomish River, MS",2022,2022-09-09,252,6.3,5.8,0.5,0,SUPP,Medium,SNOR
"Skokomish River, MS",2022,2022-09-16,259,8,6.3,1.7,0,SUPP,Medium,SNOR
"Skokomish River, NF",2022,2022-09-26,269,13.3,12.7,0.6,0,INDX,Medium,FOOT
Big Beef Creek,2022,2022-02-07,38,5.7,3.7,2,0,,,FOOT
Big Beef Creek,2022,2022-02-14,45,5.7,3.7,2,0,,,FOOT
Big Beef Creek,2022,2022-02-21,52,5.7,3.7,2,0,,,FOOT
Big Beef Creek,2022,2022-02-28,59,5.7,3.7,2,0,,,FOOT
Big Beef Creek,2022,2022-03-07,66,5.7,3.7,2,0,,,FOOT
Big Beef Creek,2022,2022-03-14,73,5.7,3.7,2,0,,,FOOT
Big Beef Creek,2022,2022-03-21,80,5.7,3.7,2,0,,,FOOT
Big Beef Creek,2022,2022-03-28,87,5.7,3.7,2,0,,,
Duckabush River,2022,2022-05-27,147,0.05,0,0.05,0,SPOT,High,FOOT
"Skokomish River, MS",2022,2022-05-11,131,6.3,5.8,0.5,0,INDX,Medium-high,RAFT
Little Quilcene River,2022,2022-05-20,140,1.8,0.8,1,0,SPOT,Medium-high,FOOT
"Skokomish River, SF",2022,2022-04-21,111,9,8,1,0,UNKN,High,UNKN
"Skokomish River, MS",2022,2022-04-21,111,8,6.3,1.7,0,UNKN,High,UNKN
Little Quilcene River,2022,2022-03-22,81,1.8,0,1.8,0,SPOT,Medium,FOOT
Little Quilcene River,2022,2022-04-22,112,1.8,0,1.8,0,SPOT,High,FOOT
"Skokomish River, MS",2022,2022-03-24,83,8,6.3,1.7,1,INDX,Medium-high,RAFT
"Skokomish River, SF",2022,2022-04-27,117,5,2.2,2.8,1,INDX,Medium,FOOT
Snow Creek,2022,2022-03-25,84,0.8,0,0.8,1,INDX,Low,FOOT
Duckabush River,2022,2022-04-20,110,1.1,0,1.1,1,INDX,Medium,RAFT
Hatchery Creek (Duck trib),2022,2022-04-28,118,0.1,0,0.1,1,INDX,Medium-low,FOOT
Little Quilcene River,2022,2022-03-28,87,4.3,3,1.3,1,INDX,Medium-low,FOOT
Little Quilcene River,2022,2022-03-28,87,1.8,0.8,1,1,INDX,Medium-low,FOOT
Little Quilcene River,2022,2022-04-15,105,4.3,3,1.3,1,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-05-03,123,0.8,0,0.8,1,INDX,High,RAFT
Duckabush River,2022,2022-05-09,129,1.1,0,1.1,1,INDX,Medium-low,RAFT
"Skokomish River, NF",2022,2022-02-16,47,12.3,10.8,1.5,1,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-02-17,48,13.3,12.7,0.6,1,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-02-22,53,12.7,12.3,0.4,1,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-03-09,68,12.7,12.3,0.4,1,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-03-09,68,12.3,10.8,1.5,1,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-03-30,89,12.3,10.8,1.5,1,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-04-05,95,15.6,13.3,2.3,1,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-04-05,95,12.3,10.8,1.5,1,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-04-19,109,12.3,10.8,1.5,1,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-05-02,122,13.3,12.7,0.6,1,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-05-02,122,15.6,13.3,2.3,1,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-05-05,125,12.7,12.3,0.4,1,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-05-05,125,10.8,9,1.8,1,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-05-09,129,13.3,12.7,0.6,1,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-05-09,129,15.6,13.3,2.3,1,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-05-13,133,12.3,10.8,1.5,1,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-05-18,138,12.7,12.3,0.4,1,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-05-31,151,12.3,10.8,1.5,1,INDX,Medium,RAFT
"Skokomish River, SF",2022,2022-04-14,104,5,2.2,2.8,1,INDX,Medium,FOOT
Tahuya River,2022,2022-03-29,88,5,2.6,2.4,1,INDX,Medium-low,FOOT
Tahuya River,2022,2022-03-30,89,10,7.5,2.5,1,INDX,Medium-low,FOOT
Tahuya River,2022,2022-04-06,96,2.6,1,1.6,1,INDX,Medium,FOOT
Tahuya River,2022,2022-04-06,96,7.5,5,2.5,1,INDX,Medium,FOOT
Tahuya River,2022,2022-04-13,103,7.5,5,2.5,1,INDX,Medium-low,FOOT
Tahuya River,2022,2022-04-21,111,2.6,1,1.6,1,INDX,Medium,FOOT
Tahuya River,2022,2022-05-18,138,11,10,1,1,INDX,Medium,FOOT
Tahuya River,2022,2022-06-13,164,10,7.5,2.5,1,INDX,Medium-low,FOOT
Dewatto River,2022,2022-03-07,66,1.8,0.3,1.5,1,INDX,Medium-low,FOOT
Dewatto River,2022,2022-03-21,80,3,1.8,1.2,1,INDX,Medium-low,FOOT
Dewatto River,2022,2022-03-28,87,3,1.8,1.2,1,INDX,Medium-low,FOOT
Dewatto River,2022,2022-04-06,96,1.8,0.3,1.5,1,INDX,Medium,FOOT
Dewatto River,2022,2022-04-21,111,1.8,0.3,1.5,1,INDX,Medium,FOOT
Union River,2022,2022-03-07,66,1.7,0.3,1.4,1,INDX,Medium-low,FOOT
Union River,2022,2022-03-21,80,1.7,0.3,1.4,1,INDX,Medium-low,FOOT
Union River,2022,2022-03-21,80,3,1.7,1.3,1,INDX,Medium-low,FOOT
Union River,2022,2022-04-13,103,1.7,0.3,1.4,1,INDX,Medium-low,FOOT
Vance Creek (SF Skok trib),2022,2022-04-14,104,3.6,2.9,0.7,1,INDX,Medium-low,RAFT
Duckabush River,2022,2022-04-26,116,6,4.8,1.2,1,INDX,Medium,FOOT
Duckabush River,2022,2022-05-03,123,4.4,2.7,1.7,1,INDX,Medium,FOOT
Duckabush River,2022,2022-05-10,130,4.4,2.7,1.7,1,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-05-25,145,9,8,1,2,INDX,Medium,RAFT
"Skokomish River, SF",2022,2022-06-01,152,9,8,1,2,INDX,Medium,RAFT
"Skokomish River, MS",2022,2022-05-03,123,8,6.3,1.7,2,INDX,Medium-high,RAFT
Duckabush River,2022,2022-04-28,118,2.3,1.1,1.2,2,INDX,Medium-low,RAFT
Little Quilcene River,2022,2022-03-28,87,3,1.8,1.2,2,INDX,Medium-low,FOOT
"Skokomish River, NF",2022,2022-02-23,54,13.3,12.7,0.6,2,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-03-15,74,15.6,13.3,2.3,2,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-03-15,74,13.3,12.7,0.6,2,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-03-16,75,12.3,10.8,1.5,2,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-03-16,75,12.7,12.3,0.4,2,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-04-19,109,13.3,12.7,0.6,2,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-04-19,109,12.7,12.3,0.4,2,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-05-24,144,12.3,10.8,1.5,2,INDX,Medium,RAFT
Tahuya River,2022,2022-03-24,83,7.5,5,2.5,2,INDX,Medium-low,FOOT
Tahuya River,2022,2022-03-29,88,7.5,5,2.5,2,INDX,Medium-low,FOOT
Dewatto River,2022,2022-02-22,53,3,1.8,1.2,2,INDX,Medium-low,FOOT
Dewatto River,2022,2022-03-21,80,1.8,0.3,1.5,2,INDX,Medium-low,FOOT
Union River,2022,2022-03-14,73,4,3,1,2,INDX,Medium-low,FOOT
Union River,2022,2022-03-21,80,4,3,1,2,INDX,Medium-low,FOOT
Union River,2022,2022-03-28,87,1.7,0.3,1.4,2,INDX,Medium-low,FOOT
Vance Creek (SF Skok trib),2022,2022-04-14,104,1.7,0,1.7,2,INDX,Medium-low,RAFT
Snow Creek,2022,2022-04-01,91,0.8,0,0.8,3,INDX,Low,FOOT
Snow Creek,2022,2022-04-08,98,0.8,0,0.8,3,INDX,Low,FOOT
"Skokomish River, MS",2022,2022-03-31,90,8,6.3,1.7,3,INDX,Medium,RAFT
Little Quilcene River,2022,2022-03-22,81,5.4,4.3,1.1,3,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-03-22,81,13.3,12.7,0.6,3,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-03-23,82,12.3,10.8,1.5,3,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-03-29,88,13.3,12.7,0.6,3,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-04-11,101,13.3,12.7,0.6,3,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-04-25,115,13.3,12.7,0.6,3,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-04-11,101,13.5,10,3.5,3,INDX,Medium,FOOT
Tahuya River,2022,2022-03-08,67,7.5,5,2.5,3,INDX,Medium-low,RAFT
Tahuya River,2022,2022-03-24,83,1,0.6,0.4,3,INDX,Medium-low,FOOT
Duckabush River,2022,2022-05-09,129,2.3,1.1,1.2,4,INDX,Medium-low,RAFT
"Skokomish River, NF",2022,2022-02-16,47,12.7,12.3,0.4,4,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-03-29,88,15.6,13.3,2.3,4,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-04-11,101,15.6,13.3,2.3,4,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-04-28,118,19,13.5,5.5,4,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-05-13,133,12.7,12.3,0.4,4,INDX,Medium,RAFT
"Skokomish River, SF",2022,2022-05-24,144,19,13.5,5.5,4,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-06-17,168,13.5,10,3.5,4,INDX,Medium,FOOT
Duckabush River,2022,2022-04-26,116,4.4,2.7,1.7,4,INDX,Medium,FOOT
Snow Creek,2022,2022-04-15,105,0.8,0,0.8,5,INDX,Low,FOOT
"Skokomish River, NF",2022,2022-03-30,89,12.7,12.3,0.4,5,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-04-13,103,12.3,10.8,1.5,5,INDX,Medium,RAFT
"Skokomish River, SF",2022,2022-04-25,115,13.5,10,3.5,5,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-05-09,129,23.5,19,4.5,5,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-06-10,161,23.5,19,4.5,5,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-03-23,82,12.7,12.3,0.4,6,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-05-05,125,12.3,10.8,1.5,6,INDX,Medium,RAFT
"Skokomish River, SF",2022,2022-06-03,154,19,13.5,5.5,6,INDX,Medium,FOOT
"Skokomish River, NF",2022,2022-04-13,103,12.7,12.3,0.4,7,INDX,Medium,RAFT
"Skokomish River, NF",2022,2022-04-27,117,12.7,12.3,0.4,7,INDX,Medium,RAFT
"Skokomish River, SF",2022,2022-04-29,119,23.5,19,4.5,8,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-05-23,143,13.5,10,3.5,8,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-06-01,152,,,,8,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-05-09,129,19,13.5,5.5,9,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-05-08,128,13.5,10,3.5,11,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-05-09,129,5,2.2,2.8,15,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-06-02,153,13.5,10,3.5,15,INDX,Medium,FOOT
"Skokomish River, SF",2022,2022-05-26,146,23.5,19,4.5,27,INDX,Medium,FOOT
Big Beef Creek,2023,2023-02-10,41,3.4,0.1,3.3,0,INDX,Medium,FOOT
Big Beef Creek,2023,2023-03-01,60,3.4,0.1,3.3,0,INDX,Medium,FOOT
Big Beef Creek,2023,2023-03-10,69,3.4,0.1,3.3,0,INDX,Medium,FOOT
Big Beef Creek,2023,2023-03-16,75,3.4,0.1,3.3,0,INDX,Medium,FOOT
Big Beef Creek,2023,2023-03-22,81,3.4,0.1,3.3,0,INDX,Medium,FOOT
Big Beef Creek,2023,2023-03-29,88,3.4,0.1,3.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-01,32,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-02,33,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-02,33,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-08,39,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-10,41,12.7,12.3,0.4,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-10,41,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-10,41,12.3,10.8,1.5,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-13,44,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-14,45,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-15,46,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-15,46,12.3,10.8,1.5,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-22,53,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-22,53,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-24,55,9,8,1,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-24,55,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-24,55,12.3,10.8,1.5,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-28,59,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-03-01,60,9,8,1,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-03-01,60,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-03-07,66,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-03-10,69,9,8,1,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-03-10,69,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-03-13,72,15.6,13.3,2.3,0,INDX,Medium,FOOT
Union River,2023,2023-02-01,32,2.1,0.3,1.8,0,INDX,Medium-low,FOOT
Dewatto River,2023,2023-02-01,32,1.8,0.3,1.5,0,INDX,Low,FOOT
Dewatto River,2023,2023-02-01,32,3,1.8,1.2,0,INDX,Low,FOOT
Vance Creek (SF Skok trib),2023,2023-02-10,41,1.7,0,1.7,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2023,2023-02-10,41,2.9,1.7,1.2,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2023,2023-02-10,41,3.6,2.9,0.7,0,INDX,Medium,FOOT
Dewatto River,2023,2023-02-13,44,3,1.8,1.2,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-02-13,44,1,0.6,0.4,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-02-13,44,2.6,1,1.6,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-02-13,44,5,2.6,2.4,0,INDX,Medium-low,FOOT
"Skokomish River, NF",2023,2023-02-01,32,9,8,1,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-01,32,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-01,32,12.3,10.8,1.5,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-01,32,12.7,12.3,0.4,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-02,33,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-02,33,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-08,39,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-10,41,12.7,12.3,0.4,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-10,41,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-10,41,12.3,10.8,1.5,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-13,44,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-14,45,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-15,46,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-15,46,12.3,10.8,1.5,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-22,53,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-22,53,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-24,55,9,8,1,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-24,55,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-24,55,12.3,10.8,1.5,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-28,59,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-03-01,60,9,8,1,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-03-01,60,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-03-07,66,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-03-10,69,9,8,1,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-03-10,69,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-03-13,72,15.6,13.3,2.3,0,INDX,Medium,FOOT
"Skokomish River, NF",2023,2023-02-01,32,12.3,10.8,1.5,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-01,32,9,8,1,0,INDX,Medium,RAFT
"Skokomish River, NF",2023,2023-02-01,32,12.7,12.3,0.4,0,INDX,Medium,RAFT
Tahuya River,2023,2023-02-14,45,11,10,1,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-02-14,45,10,7.5,2.5,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-02-14,45,7.5,5,2.5,0,INDX,Medium-low,FOOT
Union River,2023,2023-02-14,45,4,3,1,0,INDX,Medium-low,FOOT
Union River,2023,2023-02-14,45,3,1.7,1.3,0,INDX,Medium-low,FOOT
Union River,2023,2023-02-14,45,1.7,0.3,1.4,0,INDX,Medium-low,FOOT
Duckabush River,2023,2023-02-16,47,2.3,0,2.3,0,INDX,Medium-low,FOOT
Dewatto River,2023,2023-02-21,52,3.3,3,0.3,0,INDX,Medium-low,FOOT
Dewatto River,2023,2023-02-21,52,3,1.8,1.2,0,INDX,Medium-low,FOOT
Dewatto River,2023,2023-02-21,52,1.8,0.3,1.5,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-02-21,52,7.5,5,2.5,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-02-21,52,5,2.6,2.4,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-02-21,52,2.6,1,1.6,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-02-22,53,10,7.5,2.5,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-02-22,53,11,10,1,0,INDX,Medium-low,FOOT
Union River,2023,2023-02-22,53,1.7,0.3,1.4,0,INDX,Medium-low,FOOT
Union River,2023,2023-02-22,53,3,1.7,1.3,0,INDX,Medium-low,FOOT
Union River,2023,2023-02-22,53,4,3,1,0,INDX,Medium-low,FOOT
Duckabush River,2023,2023-02-27,58,2.3,0,2.3,0,INDX,Low,FOOT
Dewatto River,2023,2023-02-28,59,3.3,3,0.3,0,INDX,Low,FOOT
Dewatto River,2023,2023-02-28,59,3,1.8,1.2,0,INDX,Low,FOOT
Union River,2023,2023-02-28,59,4,3,1,0,INDX,Low,FOOT
Union River,2023,2023-02-28,59,3,1.7,1.3,0,INDX,Low,FOOT
Union River,2023,2023-02-28,59,1.7,0.3,1.4,0,INDX,Low,FOOT
Tahuya River,2023,2023-02-28,59,11,10,1,0,INDX,Low,FOOT
Tahuya River,2023,2023-02-28,59,10,7.5,2.5,0,INDX,Low,FOOT
Vance Creek (SF Skok trib),2023,2023-03-01,60,1.7,0,1.7,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2023,2023-03-01,60,2.9,1.7,1.2,0,INDX,Medium-low,RAFT
Vance Creek (SF Skok trib),2023,2023-03-01,60,3.6,2.9,0.7,0,INDX,Medium-low,RAFT
Tahuya River,2023,2023-03-01,60,7.5,5,2.5,0,INDX,Low,FOOT
Tahuya River,2023,2023-03-01,60,1,0.6,0.4,0,INDX,Low,FOOT
Union River,2023,2023-03-07,66,3,1.7,1.3,0,INDX,Medium-low,FOOT
Union River,2023,2023-03-07,66,4,3,1,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-03-07,66,1,0.6,0.4,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-03-07,66,2.6,1,1.6,0,INDX,Medium-low,FOOT
Dewatto River,2023,2023-03-07,66,1.8,0.3,1.5,0,INDX,Medium-low,FOOT
Tahuya River,2023,2023-03-08,67,10,7.5,2.5,0,INDX,Medium,FOOT
Tahuya River,2023,2023-03-08,67,11,10,1,0,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2023,2023-03-13,72,1.7,0,1.7,0,INDX,Medium-high,RAFT
Vance Creek (SF Skok trib),2023,2023-03-13,72,2.9,1.7,1.2,0,INDX,Medium-high,RAFT
